ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.8986008763313293 0.9024965763092041 0.9535764455795288 0.9574878215789795 0.053429245948791504 0.05325618386268616 0.271484375     0.015625        0.0029576084615403563 0.0215034393061085 0.0013315592595705597 0.9857235153516134 0.967781126499176
1        0.7594797611236572 0.7238137125968933 0.8762091994285583 0.9288527965545654 0.04966026544570923 0.06796470284461975 0.0244140625    0.0009765625    0.007751521854466743 0.05753925949720306 0.002549844047101613 0.9791773036122322 0.9465979337692261
2        0.8027752637863159 0.812785267829895 0.9222736358642578 0.9342652559280396 0.062115609645843506 0.09720832109451294 0.224609375     0.0029296875    0.0034036048512405765 0.021647454988084184 0.001406347183216642 0.9834837147167751 0.9602968692779541
3        0.8294805884361267 0.766579270362854 0.8711299300193787 0.9154879450798035 0.06834816932678223 0.043876707553863525 0.00732421875   0.32080078125   0.003572861963473192 0.024373904177607254 0.0019246085466206085 0.9746859967708588 0.9544983506202698
4        0.8142659664154053 0.8195700645446777 0.922558069229126 0.9289011359214783 0.054283201694488525 0.08112940192222595 0.06640625      0.03076171875   0.003495837771005342 0.036069218356551816 0.0016716019285306623 0.9553300142288208 0.7897229790687561
5        0.7682817578315735 0.7560499906539917 0.8673920631408691 0.9391130208969116 0.05921965837478638 0.10653692483901978 0.9893722534179688 0.33740234375   0.0068372584742803 0.03797575815052937 0.0024686128329085896 0.987098495165507 0.9739022850990295
6        0.7148033976554871 0.6552344560623169 0.8613333702087402 0.933512270450592 0.046537816524505615 0.08753499388694763 0.00048828125   0.00048828125   0.0019209886675654081 0.027326402637073952 0.0007342955251360982 0.9579412713646889 0.8796142339706421
7        0.8780931830406189 0.8870092630386353 0.9640601277351379 0.9451397061347961 0.05512893199920654 0.07784175872802734 0.8494873046875 0.01220703125   0.011991705932724677 0.05581539949598742 0.004395442958782727 0.9907372679029193 0.9856476783752441
8        0.8231868147850037 0.8154422044754028 0.9515942931175232 0.9253660440444946 0.046613335609436035 0.08679398894309998 0.158203125     0.01953125      0.0011959975352265036 0.021226184307164574 0.00011818113765974851 0.9279475957155228 0.7749776840209961
9        0.8501353859901428 0.8439502716064453 0.940544605255127 0.9473832249641418 0.05319559574127197 0.06574746966362 0.8653564453125 0.9929351806640625 0.0020551435831656383 0.044569856670482175 0.00010568622739385254 0.9661668241024017 0.9249613881111145
10       0.8679681420326233 0.8453782200813293 0.9672035574913025 0.9438210129737854 0.06773674488067627 0.06892281770706177 0.0615234375    0.9968032836914062 0.006185358999617305 0.032406418462760954 0.003249707295632 0.9936270813147227 0.9923186302185059
11       0.7789949774742126 0.7796903848648071 0.8802637457847595 0.919948399066925 0.0751643180847168 0.09952777624130249 0.9888916015625 0.938079833984375 0.001668695415586685 0.010151293217797001 0.0007919787857732408 0.8185596565405527 0.48094987869262695
12       0.791132390499115 0.7622315883636475 0.9100412130355835 0.91410231590271 0.05103635787963867 0.06569856405258179 0.91009521484375 0.959869384765625 0.0036268584552062253 0.030645650365075678 0.0012089607011812095 0.9905536089624677 0.9713878035545349
